run,baseline_elim,baseline_notelim,pressure_elim,pressure_notelim
5046,8571325,25069999,10805354,22837644
5047,8571583,25069956,10733628,22910007
5048,8571372,25069993,10725476,22917631
5049,8571484,25070076,10789193,22854637
5050,8571709,25069949,10762941,22880135
5051,8571590,25069934,10789918,22853878
5052,8571428,25070077,10738902,22903706
5053,8571726,25070051,10766459,22877137
5054,8571011,25070148,10827206,22815776
5055,8571662,25070050,10747521,22895415
5056,8571509,25070139,10797489,22845990
5057,8571500,25070103,10735124,22908286
5058,8571629,25069958,10743455,22900650
5059,8571397,25070102,10752207,22890900
5060,8571546,25070056,10789795,22853510
5061,8571572,25069950,10785403,22857777
5062,8571750,25070055,10755399,22887939
5063,8571341,25070058,10763465,22880062
5064,8571608,25070093,10714770,22928573
5065,8571316,25070073,10715878,22927565
5066,8571800,25069986,10792795,22850325
5067,8571314,25070016,10749345,22894373
5068,8571804,25070159,10754016,22889710
5069,8571630,25070103,10743122,22900533
5070,8571697,25070085,10781126,22862436
5071,8571715,25070009,10787783,22855490
5072,8571895,25069917,10761489,22881729
5073,8571342,25070139,10780667,22863108
5074,8571614,25070163,10750824,22892333
5075,8571402,25070142,10764514,22878961
5076,8571506,25070005,10796708,22846513
5077,8571550,25069992,10768490,22875543
5078,8571523,25069994,10739266,22903880
5079,8571425,25070034,10795478,22848256
5080,8571468,25070085,10757436,22885473
5081,8571523,25069996,10791591,22851773
5082,8571436,25069988,10741591,22902191
5083,8571510,25070029,10736015,22907371
5084,8571485,25070095,10764382,22879329
5085,8571552,25069966,10765086,22878668
5086,8571399,25069966,10826970,22816339
5087,8571907,25070006,10735093,22908619
5088,8571295,25070009,10793457,22850109
5089,8571382,25070000,10731283,22912312
5090,8571461,25069950,10762540,22880535
5091,8571781,25070141,10749852,22893538
5092,8571692,25069969,10742622,22900541
5093,8571515,25070311,10783366,22860003
5094,8571272,25070063,10743561,22899159
5095,8571685,25069987,10729595,22913655
5096,8571795,25070016,10718667,22925008
5097,8571497,25070218,10739102,22904059
5098,8571315,25070152,10795275,22848124
5099,8571778,25069903,10716071,22927505
5100,8571936,25069984,10718918,22924566
5101,8571112,25069994,10751190,22892258
5102,8571469,25069917,10750668,22892862
5103,8571696,25069957,10800814,22842839
5104,8571719,25069999,10749359,22893925
5105,8571077,25069974,10766825,22876930
5106,8571726,25070041,10757346,22885414
5107,8571780,25070080,10719595,22923775
5108,8571765,25069919,10794970,22848213
5109,8571773,25070031,10748636,22894224
5110,8571594,25069860,10743576,22899565
5111,8571571,25070075,10726369,22917604
5112,8571306,25069999,10773999,22869631
5113,8571725,25070102,10798005,22845076
5114,8571371,25070061,10749974,22893549
5115,8571800,25069966,10714220,22929268
5116,8571773,25069874,10749905,22893753
5117,8571539,25070086,10721340,22922205
5118,8571579,25070073,10828754,22813895
5119,8571294,25070121,10732255,22911186
5120,8572074,25069911,10737954,22905359
5121,8571763,25070053,10805446,22837819
5122,8571813,25070125,10751656,22891767
5123,8571364,25070158,10788574,22854741
