run,baseline_elim,baseline_notelim,pressure_elim,pressure_notelim
1539,8571441,25069951,9963244,23680169
1540,8579885,25061490,9961166,23682090
1541,8579545,25062164,9960332,23683202
1542,8582896,25059298,10003110,23640537
1543,8571743,25070075,10006860,23636872
1544,8571650,25070175,10003033,23640536
1545,8571477,25070014,10001189,23642272
1546,8571169,25070109,10023482,23620315
1547,8572076,25070273,10003963,23639472
1548,8571522,25070168,10026312,23616920
1549,8571765,25070294,10029659,23613688
1550,8580766,25061108,9978404,23665749
1551,8571646,25069983,9969123,23675294
1552,8571535,25070073,9946318,23696692
1553,8574993,25067180,10012502,23631066
1554,8579628,25062055,9965478,23677744
1555,8571788,25070069,9953013,23691370
1556,8571342,25070242,10007189,23636552
1557,8571778,25069984,9955508,23688402
1558,8571419,25070113,9996167,23647054
1559,8571648,25070543,9995577,23648597
1560,8571756,25070130,10018931,23624762
1561,8571129,25069952,9981517,23662068
1562,8571514,25069974,10001980,23641170
1563,8571572,25070020,10003753,23640526
1564,8571317,25070123,10013668,23630004
1565,8571313,25070057,9960786,23683886
1566,8571293,25070188,10027873,23615524
1567,8571480,25070064,10009478,23634025
1568,8571750,25069941,9997483,23646143
1569,8571671,25069984,10010006,23633833
1570,8571932,25069857,9986722,23656696
1571,8571737,25069985,10005556,23637817
1572,8571696,25070051,10009345,23633382
1573,8571484,25070044,10002288,23641218
1574,8571561,25070045,9965350,23678539
1575,8571821,25069980,10005292,23638206
1576,8571086,25070080,9972353,23671073
1577,8571687,25070052,9966602,23677119
1578,8571580,25069873,10023190,23619884
1579,8571473,25070132,9998448,23645758
1580,8571668,25070054,9985714,23657403
1581,8571761,25069985,9979236,23664374
1582,8571617,25070054,10009667,23634164
1583,8571266,25069972,10002794,23641258
1584,8571325,25070242,10012906,23630290
1585,8571586,25070173,9960502,23683277
1586,8571508,25069990,10010731,23632702
1587,8571510,25070128,9997019,23646952
1588,8571522,25070062,10001664,23641531
1589,8571917,25069941,9954833,23688368
1590,8571297,25069875,9977281,23666582
1591,8571396,25069982,9948407,23695153
1592,8571688,25069979,9939304,23703957
1593,8571467,25070252,10004357,23639611
1594,8571442,25070127,9972232,23671466
1595,8571937,25070137,9960547,23683343
1596,8571831,25070071,10020212,23623342
1597,8571764,25070181,9957772,23686365
1598,8571274,25069952,10018335,23625037
1599,8571331,25070229,9991711,23651913
1600,8571830,25069967,9974202,23669791
1601,8572030,25070431,10004211,23639867
1602,8571913,25070109,9962646,23681470
1603,8571404,25070032,10007928,23636444
1604,8571690,25070293,9962916,23680923
1605,8571285,25070167,9979146,23663418
1606,8571583,25070061,10006112,23637781
1607,8571960,25070067,10002007,23641881
1608,8571830,25070177,10007735,23635853
1609,8571463,25070187,9998048,23645784
1610,8573928,25067760,10004661,23639329
1611,8571608,25070301,10001220,23642681
1612,8571345,25070195,10014530,23628663
1613,8571943,25070040,10042415,23601535
1614,8571827,25070072,9993637,23649007
1615,8571847,25069755,10014347,23629056
1616,8571533,25070070,10002424,23641101
1617,8572467,25070254,9981704,23661724
1618,8571707,25070101,10011893,23631811
1619,8571751,25070216,9988981,23654633
1620,8571598,25070127,9992724,23651009
1621,8571711,25070164,9965092,23678935
1622,8571603,25070104,9972390,23671475
1623,8575035,25066877,9967715,23676038
1624,8571628,25069999,9995141,23647764
1625,8571736,25070257,9961719,23682115
1626,8571773,25070081,9936544,23706529
1627,8582717,25059710,9969995,23674042
1628,8571348,25070096,10003978,23639281
1629,8571651,25070017,9996004,23647506
1630,8571353,25070078,10008470,23635208
1631,8571795,25070080,9966628,23676824
1632,8571438,25069905,10002213,23641171
1633,8574419,25067304,9969937,23674281
1634,8571734,25070024,10011239,23632281
1635,8572169,25070266,9983777,23660241
1636,8571856,25070037,9969452,23673893
1637,8572310,25070117,9999048,23644852
1638,8571660,25070215,10014845,23628637
1639,8571660,25070037,10002401,23641360
1640,8576603,25065404,9944203,23699381
1641,8571186,25070225,9998524,23645445
1642,8579771,25061673,9963067,23680894
1643,8571546,25070400,9975965,23668100
1644,8571300,25070078,10002219,23641063
1645,8571508,25069991,9971930,23672064
1646,8576153,25065876,10009965,23633584
1647,8571640,25069979,9959824,23683725
1648,8571298,25070148,9958802,23684663
1649,8571465,25070115,10007348,23637109
1650,8586777,25056144,10007223,23636238
1651,8571486,25070060,9987132,23656460
1652,8571945,25070018,9940718,23703255
1653,8576885,25065873,10002936,23640785
1654,8574700,25066952,10002149,23641474
1655,8571293,25070188,9971236,23672827
1656,8571677,25069882,10006634,23636981
1657,8571147,25070105,9999501,23644402
1658,8571292,25069956,10014569,23629141
1659,8571607,25070023,9999170,23644344
1660,8571804,25069924,9944316,23698980
1661,8571592,25070087,9983441,23660508
1662,8571458,25070134,9964403,23678951
1663,8571522,25069988,9922950,23721146
1664,8571302,25069979,10000426,23642448
1665,8571397,25069918,9987727,23655501
1666,8574789,25067050,9997777,23645918
1667,8578085,25063893,10012629,23630743
1668,8571175,25069935,9998289,23646456
1669,8571508,25070199,10005058,23638378
1670,8576467,25065121,9972275,23672207
1671,8571719,25070020,10010316,23633357
1672,8571293,25069957,9969427,23674131
1673,8571595,25070043,10009189,23634189
1674,8574668,25067104,9999752,23643920
1675,8571710,25069962,9949785,23693348
1676,8571403,25070030,10001142,23642606
1677,8571517,25070130,10035874,23607756
1678,8575928,25065735,10000610,23643638
1679,8571314,25070086,9948857,23694390
1680,8571619,25070017,9973210,23671239
1681,8571358,25069984,9956832,23686998
