trial,type,int_eliminated,int_not_eliminated,instructions,cycles,time_sec
70,high,174532692,225488506,600155264,133737514,
70,low,16068,2159,600155283,182595146,
71,high,173183586,226837350,600155265,134915206,
71,low,15905,2082,600155284,182578823,
72,high,174536853,225484251,600155263,133784347,
72,low,15846,2142,600155283,182592929,
73,high,174259217,225762125,600155265,134456987,
73,low,15796,2153,600155283,182304827,
74,high,174482865,225537382,600155255,133781265,
74,low,16010,2158,600155275,182555174,
75,high,174098905,225922286,600155264,133969523,
75,low,15755,2080,600155283,182413020,
76,high,173681792,226338645,600155256,134136465,
76,low,16252,2175,600155284,182469520,
77,high,174169672,225851770,600155268,134319777,
77,low,15701,2163,600155284,182717481,
78,high,173878421,226142969,600155266,134034285,
78,low,15916,2150,600155294,182560534,
79,high,173982558,226038846,600155269,134037619,
79,low,15862,2124,600155284,182377433,
80,high,173346508,226674818,600155265,134238254,
80,low,16022,2186,600155284,182617654,
81,high,174491620,225529525,600155265,133776844,
81,low,15980,2069,600155276,182049407,
82,high,174986957,225034192,600155266,134226846,
82,low,16003,2104,600155275,182501395,
83,high,173778441,226242654,600155264,134122475,
83,low,16022,2120,600155284,182567986,
84,high,174534510,225486536,600155265,134684780,
84,low,16175,2167,600155277,182524531,
85,high,173566721,226455558,600155265,133930987,
85,low,15840,2115,600155285,182537110,
86,high,174291017,225730068,600155264,133897631,
86,low,15806,2086,600155278,182404149,
87,high,174241440,225779546,600155264,133919252,
87,low,15932,2214,600155287,182599210,
88,high,174096148,225925245,600155264,133920205,
88,low,15925,2139,600155283,182522513,
89,high,174537641,225483440,600155264,133733635,
89,low,15875,2142,600155284,182464267,
90,high,173958280,226062879,600155262,134047405,
90,low,15980,2152,600155283,182352327,
91,high,174517909,225503075,600155264,133791528,
91,low,15829,2101,600155284,182284107,
92,high,174920342,225100861,600155265,133619065,
92,low,15626,2087,600155286,182617955,
93,high,174269543,225751714,600155265,133912620,
93,low,16003,2158,600155285,182550030,
94,high,173720658,226299653,600155256,134121930,
94,low,16222,2165,600155284,182463936,
95,high,174519141,225500921,600155256,134707460,
95,low,15874,2151,600155285,182580187,
96,high,173592757,226430561,600155265,133970900,
96,low,16140,2098,600155286,182658933,
97,high,174167976,225853938,600155265,133981293,
97,low,16130,2172,600155276,182762040,
98,high,174014717,226008324,600155266,134105216,
98,low,15864,2093,600155277,182778912,
99,high,175206394,224814585,600155268,134250774,
99,low,15811,2070,600155277,182282543,
100,high,174419766,225601577,600155265,133784941,
100,low,15912,2159,600155284,182544731,
101,high,173639722,226381568,600155264,134137178,
101,low,16004,2131,600155284,182490311,
102,high,172769202,227252090,600155266,134574756,
102,low,15947,2106,600155285,182563948,
103,high,173661247,226359742,600155263,134830768,
103,low,16019,2086,600155284,182343492,
104,high,173843316,226180159,600155264,133940520,
104,low,15789,2091,600155287,182603202,
105,high,175316019,224704155,600155257,134338028,
105,low,16188,2120,600155277,182196211,
106,high,173434089,226587153,600155266,134205521,
106,low,15926,2119,600155286,182596371,
107,high,172879616,227141548,600155265,134489266,
107,low,15782,2090,600155276,182440997,
108,high,174002074,226018847,600155264,134023132,
108,low,15822,2093,600155285,182473354,
109,high,173822353,226198884,600155265,134100590,
109,low,16113,2078,600155283,182546313,
110,high,174451565,225569711,600155265,133678831,
110,low,15908,2088,600155284,182438986,
111,high,173643057,226379428,600155266,134080042,
111,low,15750,2142,600155284,182691073,
112,high,174154228,225867166,600155266,133901870,
112,low,16054,2093,600155285,182362280,
113,high,175017877,225003593,600155271,133573587,
113,low,15982,2153,600155284,182545312,
114,high,174908021,225113209,600155265,133583172,
114,low,15924,2053,600155286,182822188,
115,high,173947990,226072170,600155258,134016842,
115,low,15733,2100,600155276,182450774,
116,high,173413937,226606230,600155256,134256787,
116,low,15890,2116,600155284,182517021,
117,high,173864015,226157165,600155265,134088528,
117,low,15895,2130,600155286,182440243,
118,high,174831697,225189752,600155265,134219602,
118,low,15974,2199,600155284,182428258,
119,high,175217751,224803418,600155265,134105643,
119,low,15676,2071,600155289,182487992,
120,high,173989820,226031580,600155264,134583765,
120,low,15967,2125,600155285,182530716,
121,high,173884332,226137529,600155266,134121271,
121,low,15961,2144,600155283,182242376,
122,high,174328461,225692596,600155264,133878925,
122,low,15941,2129,600155284,182763829,
123,high,174750334,225270835,600155266,133694409,
123,low,15689,2093,600155283,182500451,
124,high,174772009,225249475,600155265,133691876,
124,low,16057,2110,600155284,182518728,
125,high,173146856,226873552,600155257,134376186,
125,low,16078,2075,600155284,182299679,
126,high,174558275,225462845,600155265,133778841,
126,low,16066,2108,600155284,182512269,
127,high,173754265,226267289,600155266,134043697,
127,low,16188,2183,600155283,182569763,
128,high,172345662,227674880,600155257,134732451,
128,low,15997,2131,600155284,182615770,
129,high,174647919,225373576,600155264,133696931,
129,low,16098,2182,600155283,182476758,
130,high,174177896,225843365,600155265,133895590,
130,low,15949,2156,600155276,182399232,
131,high,174252976,225768498,600155265,133915113,
131,low,16188,2157,600155285,182692228,
132,high,173677890,226343499,600155265,134090195,
132,low,15947,2146,600155276,182499626,
133,high,173858388,226163295,600155266,133828485,
133,low,15641,2240,600155284,182332838,
134,high,175017067,225003179,600155258,133542154,
134,low,15877,2122,600155286,182443725,
135,high,174236026,225784932,600155264,133922984,
135,low,15948,2115,600155277,182522478,
136,high,174486921,225536039,600155266,133919868,
136,low,15788,2115,600155285,182772850,
137,high,173647202,226374216,600155266,134186407,
137,low,16004,2192,600155284,182593612,
138,high,174790559,225230378,600155265,134252849,
138,low,15902,2054,600155285,182546485,
139,high,174197155,225824019,600155264,133904982,
139,low,16111,2119,600155284,182743044,
140,high,174866632,225154406,600155265,134278792,
140,low,16225,2161,600155284,182326215,
141,high,174398487,225622961,600155264,134571001,
141,low,15776,2103,600155285,182343104,
142,high,174443797,225577234,600155264,133801186,
142,low,15937,2065,600155284,182618826,
143,high,174235425,225785444,600155265,134575729,
143,low,15943,2229,600155284,182423827,
144,high,174068518,225952864,600155265,134633152,
144,low,16077,2130,600155275,182547823,
145,high,174258761,225762185,600155257,133913746,
145,low,16291,2168,600155286,182654315,
146,high,173537489,226483753,600155266,134226114,
146,low,15834,2134,600155277,182381338,
147,high,174210592,225810748,600155264,133895904,
147,low,16055,2114,600155275,182447594,
148,high,174169857,225851485,600155265,134533867,
148,low,15905,2108,600155284,182588065,
149,high,173708526,226314287,600155266,133963653,
149,low,16019,2181,600155284,182605008,
150,high,174334799,225686494,600155270,133838548,
150,low,16145,2166,600155285,182860824,
151,high,174786931,225233240,600155256,134590192,
