trial,type,int_eliminated,int_not_eliminated,instructions,cycles,time_sec
348,high,174482922,225537418,600155255,133780710,
348,low,15819,2098,600155285,182665004,
349,high,174209989,225811255,600155266,133899470,
349,low,16010,2114,600155290,182442529,
350,high,174633224,225388292,600155264,133738327,
350,low,16121,2127,600155276,182351784,
351,high,173861332,226160124,600155266,134009399,
351,low,15921,2059,600155285,182652741,
352,high,174095674,225925369,600155266,134605964,
352,low,16021,2133,600155284,182798710,
353,high,174384065,225636951,600155265,134461246,
353,low,15913,2144,600155284,182659220,
354,high,173226280,226795115,600155265,134365111,
354,low,16047,2185,600155284,182606071,
355,high,173948458,226071845,600155256,134019255,
355,low,16252,2157,600155277,182514572,
356,high,174280343,225740913,600155265,134516747,
356,low,15746,2061,600155287,182504020,
357,high,174045381,225976215,600155264,134000770,
357,low,16057,2150,600155285,182559505,
358,high,174215306,225804714,600155255,133900777,
358,low,15859,2091,600155284,182555302,
359,high,174569019,225452197,600155265,133763342,
359,low,16094,2143,600155286,182731211,
360,high,174012319,226008742,600155267,134643608,
360,low,15767,2083,600155285,182361163,
361,high,174825367,225195852,600155265,133651878,
361,low,15951,2097,600155276,182556413,
362,high,173357689,226663445,600155264,134261662,
362,low,16143,2161,600155285,182497076,
363,high,174749888,225270066,600155256,133659771,
363,low,16052,2138,600155285,182470671,
364,high,174291006,225730097,600155264,133885788,
364,low,16121,2193,600155284,182387242,
365,high,173757894,226263400,600155265,134761785,
365,low,16113,2175,600155275,182539015,
366,high,173443811,226578003,600155266,134054241,
366,low,15815,2102,600155284,182525082,
367,high,173283125,226738195,600155265,134314990,
367,low,15752,2148,600155285,182430356,
368,high,174281529,225740230,600155266,133923322,
368,low,16167,2180,600155277,182622365,
369,high,173681460,226338525,600155257,134139869,
369,low,15920,2115,600155285,182802777,
370,high,173486747,226535859,600155273,134223502,
370,low,16047,2151,600155285,182625464,
371,high,174769603,225251806,600155265,134239701,
371,low,15816,2094,600155284,182550690,
372,high,174692164,225329119,600155265,133776339,
372,low,15725,2073,600155283,182579260,
373,high,173911834,226109365,600155264,134015783,
373,low,16151,2193,600155286,182580042,
374,high,173613649,226407716,600155265,134199480,
374,low,15973,2150,600155284,182509793,
375,high,174362703,225659348,600155266,133843824,
375,low,16133,2171,600155275,182626203,
376,high,174151366,225869987,600155265,133958414,
376,low,16031,2176,600155285,182734759,
377,high,174750495,225270673,600155264,133691727,
377,low,16082,2162,600155285,182649417,
378,high,172908724,227111533,600155257,135399628,
378,low,16147,2199,600155277,182624752,
379,high,173610119,226411196,600155265,134195816,
379,low,16086,2159,600155278,182483316,
380,high,174301216,225719921,600155265,133832949,
380,low,15759,2100,600155288,182667185,
381,high,174628307,225393222,600155265,133689644,
381,low,15980,2122,600155276,182517431,
382,high,174232151,225788707,600155291,133908262,
382,low,15897,2103,600155285,182535133,
383,high,174325287,225696133,600155265,134356954,
383,low,15739,2092,600155275,182657274,
384,high,172917035,227103032,600155257,135422407,
384,low,15748,2084,600155286,182580271,
385,high,173933065,226088506,600155265,133981453,
385,low,16076,2192,600155276,182278091,
386,high,174122601,225898886,600155266,133914193,
386,low,15990,2116,600155285,182576846,
387,high,173926151,226095643,600155265,133896947,
387,low,15727,2070,600155285,182623703,
388,high,173906615,226114926,600155264,133936016,
388,low,15841,2109,600155285,182377342,
389,high,174246119,225774834,600155264,133825452,
389,low,16045,2110,600155284,182266615,
390,high,174344208,225677215,600155265,133899572,
390,low,16097,2170,600155287,182622141,
391,high,174750413,225270953,600155265,133698444,
391,low,16009,2116,600155285,182646629,
392,high,174674578,225347292,600155266,133684308,
392,low,16095,2099,600155276,182288751,
393,high,173622444,226398240,600155257,134160431,
393,low,16057,2139,600155285,182515815,
394,high,173960296,226061143,600155264,134034903,
394,low,15940,2166,600155288,182641486,
395,high,173702341,226320519,600155269,134111623,
395,low,16071,2132,600155286,182581068,
396,high,173061090,226959937,600155265,134385433,
396,low,15632,2051,600155277,182460976,
397,high,173740973,226280328,600155268,134005172,
397,low,15943,2136,600155285,182580725,
398,high,173270221,226751054,600155296,134345627,
398,low,16141,2087,600155276,182513558,
399,high,174165354,225854860,600155257,133852890,
399,low,16084,2213,600155283,182356440,
400,high,174159343,225862152,600155268,134564224,
400,low,16061,2138,600155283,182442224,
401,high,173919912,226101659,600155268,133895887,
401,low,16058,2097,600155278,182323796,
402,high,174233277,225787975,600155262,133775855,
402,low,15877,2096,600155285,182588064,
403,high,174484271,225536335,600155256,133778528,
403,low,15961,2174,600155283,182686202,
404,high,174652171,225369923,600155267,133619582,
404,low,15976,2183,600155283,182484823,
405,high,173498467,226523183,600155266,134203494,
405,low,15937,2138,600155285,182463653,
406,high,174695384,225325870,600155269,133713124,
406,low,15846,2112,600155286,182331985,
407,high,173585090,226435343,600155257,134180921,
407,low,15956,2156,600155287,182468571,
408,high,173515040,226505038,600155257,133973281,
408,low,16193,2191,600155285,182469666,
409,high,173841188,226179412,600155258,134038361,
409,low,15861,2089,600155284,182522317,
410,high,174590671,225430716,600155265,135067637,
410,low,15804,2049,600155284,182472138,
411,high,174350144,225671459,600155266,133881837,
411,low,15901,2083,600155285,182564017,
412,high,174220986,225800197,600155263,133916972,
412,low,16189,2158,600155283,182474929,
413,high,173565979,226455628,600155267,134119086,
413,low,16080,2111,600155285,182690016,
414,high,173703550,226317595,600155264,134145877,
414,low,15950,2093,600155286,182520514,
415,high,173871155,226149930,600155263,134005221,
415,low,15860,2164,600155284,182559663,
416,high,174525788,225495175,600155264,133788050,
416,low,16036,2156,600155288,182542387,
417,high,174287011,225734602,600155263,133873211,
417,low,16053,2028,600155277,182391947,
418,high,174702256,225319349,600155266,134360767,
418,low,15831,2121,600155283,182527847,
419,high,174694675,225326606,600155264,133662840,
419,low,15788,2041,600155285,182573100,
420,high,173553093,226468466,600155266,134098914,
420,low,16088,2149,600155285,182680205,
421,high,174237001,225783952,600155266,133914748,
421,low,16172,2153,600155277,182400532,
422,high,174639093,225383260,600155265,133701365,
422,low,16037,2155,600155284,182461848,
423,high,173407629,226613365,600155257,134306729,
423,low,15925,2101,600155276,182165449,
424,high,174143069,225878125,600155265,133844844,
424,low,15963,2130,600155286,182600920,
425,high,173607894,226413363,600155265,134202687,
425,low,15762,2057,600155275,182327670,
426,high,172533194,227490659,600155268,134500288,
426,low,16130,2123,600155291,182497234,
427,high,174522820,225498960,600155266,134356081,
427,low,15799,2065,600155276,182404723,
428,high,173948634,226071355,600155255,134017990,
428,low,15915,2073,600155285,182399294,
429,high,174967496,225053550,600155266,134273549,
429,low,15879,2071,600155284,182498899,
430,high,174039445,225981642,600155265,133871496,
430,low,15910,2111,600155285,182664659,
431,high,174247297,225773020,600155257,134817999,
431,low,15662,2109,600155286,182495109,
432,high,173086833,226934057,600155256,134404187,
432,low,16078,2181,600155276,182253317,
433,high,174099277,225922131,600155264,133984187,
433,low,15971,2104,600155284,182510605,
434,high,174953604,225067752,600155264,134232405,
434,low,15896,2178,600155288,182579301,
435,high,174815183,225205861,600155264,133661689,
435,low,15990,2126,600155285,182714230,
436,high,174230174,225790809,600155265,133913484,
436,low,15987,2139,600155276,182519462,
437,high,173681418,226338726,600155255,134135897,
437,low,15966,2092,600155283,182267159,
438,high,174778686,225242542,600155266,134469510,
438,low,16009,2138,600155276,182352630,
439,high,173176554,226844397,600155264,134886594,
439,low,15975,2214,600155283,182314705,
440,high,174394186,225627006,600155265,134714826,
440,low,15841,2066,600155276,182370269,
441,high,173414245,226605978,600155256,134258166,
441,low,16247,2125,600155283,182604327,
442,high,174999850,225021736,600155265,133598864,
442,low,15751,2061,600155286,182473453,
443,high,173648963,226372100,600155266,134174234,
443,low,15977,2117,600155277,182327081,
444,high,174643878,225377211,600155265,133739954,
444,low,15909,2076,600155275,182512298,
445,high,174434037,225586899,600155264,134485923,
445,low,15987,2188,600155284,182623083,
446,high,174048621,225972570,600155265,134623259,
446,low,15858,2099,600155285,182502069,
447,high,174227303,225793860,600155264,133919040,
447,low,16065,2156,600155285,182350217,
448,high,174482645,225537584,600155258,133784769,
448,low,15880,2120,600155284,182522352,
449,high,174454553,225566768,600155264,133793410,
449,low,15844,2144,600155286,182611566,
450,high,174219779,225801746,600155264,133730630,
450,low,15872,2157,600155284,182625966,
451,high,174063944,225957201,600155265,133876024,
451,low,15785,2099,600155285,182381991,
452,high,174038972,225982593,600155266,133918808,
452,low,16112,2110,600155285,182633150,
453,high,173919072,226101604,600155256,134045487,
453,low,15899,2131,600155284,182405169,
454,high,174216917,225803514,600155257,133912737,
454,low,16106,2143,600155275,182609099,
455,high,173769228,226251658,600155265,134091495,
455,low,15903,2139,600155283,182306346,
456,high,174156151,225865163,600155267,134147821,
456,low,16100,2172,600155284,182584320,
457,high,175055993,224964166,600155257,134478111,
457,low,16042,2163,600155286,182668323,
458,high,174431488,225589965,600155266,133857435,
458,low,15969,2193,600155283,182487183,
459,high,172967832,227053394,600155266,134376559,
459,low,15960,2112,600155284,182563708,
460,high,175170116,224851123,600155265,134124703,
460,low,15924,2163,600155287,182553999,
461,high,174338776,225683380,600155264,133823585,
461,low,15913,2153,600155285,182678073,
462,high,174919084,225103301,600155268,133603649,
462,low,15914,2143,600155312,182698537,
463,high,173681194,226338870,600155256,134137683,
463,low,15903,2205,600155285,182580681,
464,high,173769458,226251688,600155256,134098981,
464,low,16196,2220,600155277,182476499,
465,high,174067630,225953556,600155266,133896221,
465,low,16014,2076,600155290,182495457,
466,high,174363651,225657081,600155264,134713305,
466,low,15854,2119,600155276,182482668,
467,high,174482505,225537738,600155256,133779090,
467,low,16056,2138,600155286,182530467,
468,high,174933491,225087816,600155266,133616320,
468,low,16016,2134,600155284,182614531,
469,high,174073299,225948463,600155265,134589249,
469,low,15901,2138,600155285,182504309,
470,high,174208519,225812745,600155264,133924870,
470,low,15951,2112,600155275,182559608,
471,high,174253516,225767941,600155264,133925162,
471,low,16010,2152,600155284,182614228,
472,high,174636918,225384474,600155268,133688995,
472,low,15904,2141,600155285,182558844,
473,high,174451667,225569974,600155264,133838070,
473,low,16004,2171,600155283,182656520,
474,high,174433922,225587325,600155265,133837453,
474,low,16034,2195,600155284,182633420,
475,high,173908111,226113096,600155266,134060186,
475,low,16147,2179,600155287,182696984,
476,high,173836431,226184576,600155264,134800589,
476,low,16116,2130,600155276,182553156,
477,high,174314988,225706640,600155270,133891475,
477,low,15927,2190,600155284,182566730,
478,high,174215307,225804744,600155256,133900255,
478,low,15757,2085,600155287,182460816,
479,high,174164892,225856492,600155267,133868423,
479,low,15904,2156,600155275,182413705,
480,high,174331580,225689473,600155264,133849455,
480,low,15996,2085,600155284,182552488,
481,high,174482695,225537545,600155256,133780413,
481,low,16192,2164,600155276,182808990,
482,high,174847761,225173536,600155264,134251685,
482,low,16053,2162,600155284,182542018,
483,high,174314812,225706619,600155265,133840816,
483,low,16037,2144,600155283,182536196,
484,high,173680968,226339227,600155255,134139000,
484,low,15810,2109,600155284,182461221,
485,high,174251298,225768900,600155256,134826196,
485,low,16082,2093,600155286,182554886,
486,high,174668355,225352851,600155265,133701550,
486,low,16062,2181,600155283,182489089,
487,high,174402485,225618898,600155265,134409656,
487,low,15682,2110,600155277,182368479,
488,high,171997155,228024127,600155266,134861238,
488,low,16144,2139,600155283,182507913,
489,high,174601200,225419812,600155293,133752448,
489,low,15915,2133,600155284,182770923,
490,high,173413424,226606701,600155258,134256207,
490,low,15985,2210,600155286,182543653,
491,high,174065345,225955770,600155264,133951337,
491,low,15795,2062,600155285,182509719,
492,high,174539701,225481490,600155265,133701698,
492,low,16052,2161,600155284,182404481,
493,high,174047478,225973676,600155265,133968058,
493,low,16056,2173,600155275,182667963,
494,high,175017646,225003598,600155264,133569542,
494,low,15888,2115,600155287,182594237,
495,high,173567486,226453764,600155267,134766227,
495,low,15981,2135,600155276,182380583,
496,high,173413651,226606562,600155258,134260215,
496,low,15930,2120,600155285,182668299,
497,high,173831780,226189464,600155265,134096580,
497,low,16007,2103,600155285,182635322,
498,high,174223637,225797746,600155264,133914040,
498,low,16334,2150,600155277,182644988,
499,high,175027226,224993806,600155266,134485696,
499,low,16273,2166,600155277,182283778,
500,high,173948375,226071931,600155256,134018069,
500,low,16041,2166,600155275,182496984,
501,high,174091055,225930518,600155266,133920970,
501,low,16029,2117,600155276,182527785,
502,high,172951890,227069243,600155264,134418993,
502,low,15890,2122,600155291,182408488,
503,high,174341680,225679342,600155264,134481676,
503,low,15931,2141,600155276,182342363,
504,high,174801912,225219315,600155266,133671471,
504,low,15827,2188,600155283,182499002,
505,high,173867437,226153677,600155266,134681706,
505,low,15810,2103,600155284,182558062,
506,high,173951240,226070098,600155265,133888289,
506,low,15910,2114,600155284,182419621,
507,high,173010941,227010203,600155264,134245715,
507,low,15974,2107,600155276,182433986,
508,high,174232048,225789138,600155264,133910976,
508,low,15939,2072,600155285,182687114,
509,high,174106052,225915222,600155264,133924604,
509,low,15852,2132,600155287,182646006,
510,high,173923950,226098066,600155265,134090130,
510,low,15699,2062,600155285,182416603,
511,high,174761157,225260080,600155265,133680537,
511,low,16035,2138,600155285,182638103,
512,high,174216020,225805291,600155266,133936658,
512,low,16131,2150,600155313,182494278,
513,high,174267271,225753900,600155266,133867799,
513,low,15885,2107,600155284,182554408,
514,high,174724165,225296766,600155265,133697188,
514,low,16015,2089,600155276,182516199,
515,high,172873313,227147781,600155266,134400519,
515,low,16034,2230,600155285,182631197,
516,high,174586030,225435693,600155268,134261726,
516,low,15966,2111,600155304,182807690,
517,high,174526395,225494764,600155263,134358924,
517,low,16321,2176,600155284,182524062,
518,high,174435696,225585281,600155265,133793505,
518,low,16123,2136,600155284,182636212,
519,high,173146247,226873979,600155256,134375748,
519,low,15929,2107,600155284,182372170,
520,high,173577660,226443344,600155265,134799287,
520,low,15888,2110,600155285,182687382,
521,high,174893322,225127624,600155264,134212909,
521,low,16299,2181,600155286,182453580,
522,high,173031939,226990530,600155265,134290780,
522,low,15917,2175,600155284,182432229,
523,high,173925905,226095098,600155265,133956722,
523,low,16033,2144,600155283,182343615,
524,high,173794371,226227109,600155265,134112048,
524,low,16137,2135,600155285,182587960,
525,high,173493596,226528229,600155265,134164785,
525,low,16042,2120,600155284,182425255,
526,high,174691657,225329360,600155265,133674365,
526,low,15779,2083,600155283,182272901,
527,high,173626912,226394500,600155266,134115733,
527,low,16084,2177,600155283,182777936,
528,high,173935308,226086034,600155267,134002252,
528,low,15916,2092,600155284,182559761,
529,high,173950133,226072380,600155266,134242849,
529,low,15826,2078,600155285,182636853,
530,high,174413656,225606559,600155257,134761658,
530,low,16097,2118,600155283,182738055,
531,high,173357247,226664089,600155265,134274359,
531,low,15862,2110,600155276,182398144,
532,high,172866785,227154307,600155265,134493002,
532,low,15754,2157,600155285,182382640,
533,high,173229878,226792124,600155265,134320024,
533,low,16166,2200,600155282,182477945,
534,high,173492522,226530282,600155264,134478802,
534,low,16141,2135,600155277,182552573,
535,high,173413638,226606612,600155256,134258399,
535,low,15956,2155,600155284,182397438,
536,high,172880494,227139842,600155256,134494028,
536,low,16048,2210,600155285,182640705,
537,high,173994054,226027962,600155266,133866843,
537,low,15966,2117,600155278,182516022,
538,high,174341333,225680504,600155270,133855025,
538,low,15739,2099,600155286,182504170,
539,high,174312140,225710106,600155266,133858555,
539,low,16044,2175,600155276,182387390,
540,high,173721076,226300098,600155267,134092708,
540,low,16165,2181,600155285,182535763,
541,high,174741458,225280737,600155266,133624776,
541,low,15988,2124,600155284,182479352,
542,high,174786880,225233343,600155258,134593007,
542,low,15902,2071,600155285,182449736,
543,high,173200818,226820497,600155265,134239124,
543,low,15925,2158,600155284,182653350,
544,high,173679146,226341727,600155265,134128814,
544,low,15938,2162,600155282,182595217,
545,high,173997500,226023787,600155265,133985712,
545,low,15979,2187,600155276,182649163,
546,high,172649089,227371286,600155258,135543026,
546,low,15789,2105,600155284,182664043,
547,high,173784473,226237875,600155265,134095318,
547,low,15993,2136,600155284,182538024,
548,high,174786320,225233865,600155256,134590620,
548,low,16105,2163,600155276,182482042,
549,high,174792658,225228334,600155263,133665667,
549,low,16047,2163,600155276,182397571,
550,high,174253655,225767482,600155265,133873750,
550,low,16048,2141,600155282,182212589,
551,high,174321176,225700129,600155266,133788008,
551,low,15801,2127,600155283,182423752,
552,high,173987713,226033267,600155264,134643438,
552,low,15763,2089,600155285,182658701,
553,high,173602386,226419123,600155266,134099679,
553,low,15632,2084,600155285,182564987,
554,high,174456199,225564838,600155265,133812406,
554,low,15995,2098,600155285,182633949,
555,high,174313765,225708237,600155264,133871844,
555,low,16077,2141,600155283,182500007,
556,high,174312687,225708543,600155265,133845775,
556,low,15936,2178,600155284,182602579,
557,high,173624975,226396386,600155265,134139934,
557,low,16018,2179,600155285,182631051,
558,high,174718044,225303119,600155264,134220417,
558,low,15799,2094,600155283,182460962,
559,high,173575172,226446126,600155265,134207111,
559,low,15824,2103,600155277,182401317,
560,high,173772436,226248562,600155267,134088773,
560,low,15875,2151,600155283,182446172,
561,high,174590109,225431478,600155262,133776249,
561,low,16152,2191,600155286,182375750,
562,high,173597247,226424623,600155265,134231508,
562,low,15967,2191,600155286,182604465,
563,high,174558151,225463119,600155265,133767978,
563,low,16126,2129,600155277,182760217,
564,high,174109690,225911684,600155265,133981699,
564,low,15986,2130,600155276,182362830,
565,high,173711138,226308983,600155257,135052624,
565,low,15621,2103,600155285,182620038,
566,high,173413919,226606392,600155256,134257135,
566,low,15868,2099,600155285,182619357,
567,high,174280621,225740891,600155267,133854563,
567,low,16159,2136,600155288,182499016,
568,high,173778080,226243346,600155265,134116794,
568,low,15952,2152,600155283,182313160,
569,high,174750295,225270860,600155267,133696848,
569,low,16037,2141,600155287,182386308,
570,high,174312556,225708537,600155264,133886302,
570,low,15981,2153,600155276,182486005,
571,high,174358142,225663895,600155265,133813818,
571,low,15843,2130,600155276,182482121,
572,high,174252735,225769134,600155265,133928085,
572,low,15850,2178,600155286,182694870,
573,high,174398380,225623642,600155266,133797047,
573,low,15717,2128,600155283,182558170,
574,high,173948481,226071774,600155256,134017923,
574,low,16061,2140,600155284,182554743,
575,high,173948247,226072022,600155254,134016570,
575,low,15959,2094,600155284,182613023,
576,high,174299437,225721651,600155266,133889052,
576,low,15904,2145,600155286,182616315,
577,high,174724951,225296181,600155264,133694632,
577,low,16105,2145,600155286,182471509,
578,high,174483162,225537348,600155255,133782587,
578,low,15826,2107,600155285,182478450,
579,high,174202477,225819473,600155265,133930602,
579,low,15886,2129,600155284,182373349,
580,high,173914402,226107494,600155266,134801097,
580,low,15690,2045,600155283,182523678,
581,high,174023135,225997893,600155264,133974921,
581,low,15923,2162,600155284,182497110,
582,high,173847719,226173843,600155265,133984307,
582,low,16051,2188,600155283,182393918,
583,high,173971049,226050622,600155264,134000195,
583,low,16003,2154,600155285,182494446,
584,high,174215717,225804910,600155256,133896507,
584,low,15905,2112,600155288,182599941,
585,high,174750434,225270787,600155265,133693921,
585,low,16006,2077,600155277,182510472,
586,high,174336791,225685145,600155267,134218185,
586,low,16032,2126,600155285,182419246,
587,high,173388331,226633048,600155265,134266212,
587,low,16179,2153,600155276,182562432,
588,high,174482452,225537622,600155256,133780317,
588,low,15818,2110,600155285,182373304,
589,high,174055604,225965642,600155265,133873337,
589,low,16237,2154,600155282,182582507,
590,high,174242099,225779415,600155264,133817240,
590,low,16017,2180,600155284,182588479,
591,high,172123288,227897669,600155256,134625749,
591,low,15834,2113,600155285,182565552,
592,high,174248535,225772684,600155263,133910312,
592,low,15782,2127,600155284,182168410,
593,high,174970114,225051004,600155267,134212366,
593,low,15804,2161,600155284,182513168,
594,high,173680651,226339198,600155257,134134524,
594,low,15858,2111,600155288,182603478,
595,high,174749792,225271084,600155261,133694076,
595,low,15879,2141,600155285,182594093,
596,high,174141583,225879515,600155265,133934203,
596,low,16215,2169,600155285,182487269,
597,high,174292119,225729102,600155266,134469685,
597,low,15883,2141,600155285,182499195,
598,high,174312822,225709177,600155266,133903550,
598,low,16171,2181,600155285,182425759,
599,high,175003038,225018278,600155265,134197814,
599,low,15820,2136,600155286,182892250,
600,high,173146562,226873980,600155256,134375600,
600,low,16099,2170,600155284,182608704,
601,high,174075910,225945219,600155265,134632259,
601,low,15916,2148,600155287,182595769,
602,high,174161605,225860735,600155266,133937745,
602,low,15875,2124,600155285,182628770,
603,high,174509905,225511199,600155264,134441191,
603,low,16006,2177,600155284,182363275,
604,high,174045428,225975879,600155265,134002475,
604,low,15937,2138,600155283,182545662,
605,high,174322025,225699448,600155266,133826268,
605,low,15995,2159,600155277,182788296,
606,high,174306119,225715074,600155265,133802684,
606,low,15933,2169,600155286,182592221,
607,high,173291959,226732205,600155264,133938663,
607,low,16006,2088,600155283,182644805,
608,high,174703929,225317335,600155268,133710405,
608,low,15980,2153,600155286,182818527,
609,high,173928981,226092286,600155266,134024528,
609,low,16046,2171,600155284,182437430,
610,high,174923503,225097438,600155265,134217292,
610,low,16055,2230,600155286,182613694,
611,high,175017399,225002971,600155257,133546452,
611,low,16047,2138,600155285,182412839,
612,high,173146902,226873335,600155257,134376408,
612,low,15886,2127,600155284,182758956,
613,high,174647682,225373277,600155264,135012806,
613,low,16034,2103,600155291,182661963,
614,high,174118510,225902899,600155266,133879676,
614,low,16088,2149,600155283,182416568,
615,high,173500477,226520440,600155265,134322718,
615,low,15959,2156,600155275,182449184,
616,high,174078191,225943438,600155265,133881926,
616,low,15665,2103,600155284,182515316,
617,high,174097645,225923943,600155265,133995118,
617,low,15999,2178,600155285,182379119,
618,high,173299068,226721621,600155257,135208676,
618,low,15925,2077,600155284,182597563,
619,high,174631287,225390439,600155264,133703228,
619,low,15930,2210,600155285,182504291,
620,high,174510992,225509864,600155264,133794253,
620,low,16057,2186,600155276,182610602,
621,high,174483117,225536860,600155255,133775522,
621,low,15981,2166,600155283,182518545,
622,high,174109421,225911555,600155266,133976158,
622,low,16066,2165,600155283,182548657,
623,high,174787283,225233864,600155264,134383550,
623,low,16041,2065,600155284,182809076,
624,high,173989147,226033309,600155269,133835216,
624,low,15903,2078,600155283,182530870,
625,high,173147198,226873466,600155256,134394676,
625,low,16260,2172,600155275,182144950,
626,high,171742738,228279809,600155257,133864237,
626,low,15791,2192,600155284,182594254,
627,high,174080464,225940693,600155265,133945815,
627,low,15765,2114,600155281,182475120,
628,high,173948462,226071799,600155257,134015288,
628,low,15713,2153,600155275,182731532,
629,high,174476929,225544243,600155264,133808697,
629,low,15902,2175,600155289,182585155,
630,high,174570681,225451283,600155264,133646948,
630,low,15921,2112,600155286,182364223,
631,high,174393368,225628351,600155265,134445084,
631,low,16090,2155,600155275,182560434,
632,high,174360674,225660126,600155264,133813468,
632,low,15916,2082,600155285,182586209,
633,high,174426473,225594958,600155265,133841986,
633,low,16080,2170,600155284,182614339,
634,high,174566289,225454745,600155268,134295775,
634,low,15976,2127,600155287,182661986,
635,high,172915012,227106239,600155264,134413932,
635,low,15850,2098,600155286,182508319,
636,high,174571924,225449712,600155266,133742813,
636,low,15854,2112,600155284,182649265,
637,high,173335251,226685850,600155265,134838330,
637,low,15811,2120,600155284,182303217,
638,high,173850157,226171520,600155266,134054550,
638,low,16078,2168,600155285,182649397,
639,high,174253681,225767611,600155265,133916618,
639,low,16070,2141,600155285,182599704,
640,high,174648804,225373266,600155266,133714568,
640,low,15982,2132,600155286,182230375,
641,high,174633126,225387887,600155264,133744471,
641,low,16177,2212,600155277,182529722,
642,high,173414097,226606079,600155258,134255289,
642,low,15836,2128,600155286,182914060,
643,high,174570290,225451147,600155266,133781802,
643,low,15929,2084,600155285,182580246,
644,high,173564234,226456719,600155263,134211944,
644,low,15806,2208,600155278,182452222,
645,high,174547328,225473569,600155263,133775153,
645,low,15822,2054,600155285,182692217,
646,high,173783989,226237363,600155266,133966000,
646,low,15702,2113,600155286,182503387,
647,high,173998584,226023037,600155264,134050146,
647,low,15944,2146,600155285,182417677,
648,high,174668938,225352248,600155265,133719362,
648,low,16095,2152,600155277,182401134,
649,high,173922009,226098739,600155264,134008735,
649,low,15872,2178,600155276,182479868,
650,high,173850173,226170982,600155264,133924891,
650,low,15979,2062,600155276,182525043,
651,high,173714386,226306889,600155265,134110864,
651,low,15958,2176,600155284,182497555,
652,high,174365820,225655503,600155266,133822312,
652,low,16061,2058,600155276,182364898,
653,high,173769562,226251747,600155266,134089500,
653,low,15882,2136,600155283,182548418,
654,high,173559786,226465177,600155265,134067947,
654,low,16008,2121,600155284,182674267,
655,high,174519047,225501422,600155256,134709889,
655,low,16153,2234,600155285,182701387,
656,high,173868647,226152485,600155266,134027030,
656,low,15790,2059,600155286,182470833,
657,high,174497517,225523696,600155256,133736917,
657,low,15775,2150,600155286,182406908,
658,high,173332991,226688041,600155264,134904018,
658,low,15889,2100,600155285,182489149,
659,high,173949939,226071258,600155264,134643759,
659,low,16123,2182,600155285,182652034,
660,high,173931400,226090352,600155264,134041592,
660,low,16019,2189,600155275,182260942,
661,high,174479925,225541193,600155256,133819906,
661,low,15985,2090,600155288,182633334,
662,high,174483285,225536965,600155257,133783815,
662,low,15909,2133,600155285,182414481,
663,high,174684595,225336316,600155263,134429497,
663,low,15962,2176,600155276,182365624,
664,high,173948128,226071998,600155257,134022235,
664,low,16026,2171,600155276,182252797,
665,high,174526457,225494757,600155265,134363125,
665,low,15967,2090,600155284,182462609,
666,high,174914253,225107013,600155266,133585319,
666,low,16066,2163,600155279,182489097,
667,high,174439151,225582260,600155265,133793778,
667,low,15947,2232,600155281,182471786,
668,high,174482536,225537579,600155258,133781461,
668,low,15908,2131,600155284,182510807,
669,high,174719697,225301356,600155264,133664167,
669,low,15829,2107,600155286,182662701,
670,high,173874348,226146961,600155264,134075441,
670,low,16151,2159,600155285,182666414,
671,high,173738309,226282005,600155257,135056341,
671,low,15700,2130,600155284,182465030,
672,high,174876181,225145789,600155265,134111859,
672,low,16115,2172,600155276,182298252,
673,high,174232435,225788770,600155265,133884606,
673,low,15819,2143,600155285,182715489,
674,high,173888983,226132124,600155266,134025430,
674,low,15796,2142,600155277,182242647,
675,high,174249155,225772584,600155272,133829772,
675,low,16146,2133,600155286,182517627,
676,high,174526682,225494659,600155266,133738683,
676,low,15860,2093,600155285,182523632,
677,high,174003560,226017582,600155264,133904328,
677,low,15786,2137,600155285,182516853,
678,high,174262930,225759452,600155266,133841248,
678,low,16132,2207,600155285,182565345,
679,high,174519458,225500689,600155256,134710306,
679,low,16006,2118,600155284,182562475,
680,high,174504566,225516721,600155264,133806156,
680,low,15985,2132,600155285,182539239,
681,high,174429869,225592469,600155267,133745141,
681,low,15922,2116,600155285,182613009,
682,high,174571289,225450368,600155265,133706866,
682,low,15897,2148,600155284,182369090,
683,high,174790949,225229438,600155259,134602221,
683,low,15958,2148,600155285,182453115,
684,high,174793179,225227950,600155264,133663385,
684,low,15862,2162,600155284,182518368,
685,high,174224786,225796480,600155264,134516023,
685,low,15937,2099,600155284,182266067,
686,high,174208667,225812228,600155265,133889882,
686,low,15992,2133,600155287,182488446,
687,high,174672948,225348411,600155264,133709249,
687,low,15876,2154,600155277,182124934,
688,high,174482605,225537459,600155256,133781072,
688,low,15684,2099,600155285,182483844,
689,high,174185141,225836228,600155264,133939555,
689,low,15760,2015,600155285,182516118,
690,high,174183666,225837643,600155264,133899020,
690,low,15769,2093,600155287,182534406,
691,high,173664869,226356365,600155264,134177170,
691,low,15849,2121,600155276,182525304,
692,high,173799632,226221953,600155268,134110561,
692,low,16151,2109,600155284,182591427,
693,high,174474034,225547141,600155267,133799316,
693,low,15813,2174,600155285,182582637,
694,high,173832241,226188995,600155265,134027090,
694,low,16121,2127,600155285,182575791,
695,high,173906529,226116106,600155272,134006944,
695,low,16142,2098,600155281,182470113,
696,high,173678608,226342690,600155267,134150234,
696,low,16033,2149,600155283,182550431,
