run,baseline_elim,baseline_notelim,openssl_elim,openssl_notelim,add_elim,add_notelim,double_elim,double_notelim,mul_elim,mul_notelim,ad_elim,ad_notelim
0697,8571335,25070209,10752636,22890660,12268556,21373490,12820334,20821403,13384049,20257084,12275432,21366468
0698,8581817,25060134,10769260,22874347,12274076,21368156,12816763,20825164,13385811,20255514,12258451,21383430
0699,8571359,25070265,10730855,22912678,12262138,21379828,12819640,20822358,13383568,20257791,12274876,21367032
0700,8571369,25070150,10738485,22904890,12265805,21376163,12824374,20817001,13377058,20264004,12269187,21372853
0701,8571349,25070181,10728364,22915428,12267860,21374355,12828601,20813487,13380576,20260911,12262520,21379342
0702,8571294,25070041,10788934,22854423,12270294,21371721,12825952,20816252,13378019,20263273,12263433,21378689
0703,8571624,25070052,10734122,22909316,12262670,21380052,12819340,20822577,13375767,20265713,11579959,22062016
0704,8571675,25070046,10723965,22919532,12261072,21380868,12821450,20820439,13384451,20256834,12269233,21372775
0705,8571510,25070166,10715930,22928009,12287590,21354650,12823959,20817952,13382599,20258346,12273638,21368359
0706,8580205,25062024,10743184,22900318,12277325,21364398,12827138,20814775,13380305,20261242,12270185,21371827
0707,8571495,25070204,10720260,22923037,12262139,21380057,12824292,20817231,13386233,20255221,12259522,21382092
0708,8571444,25070184,10711887,22931571,12275805,21366452,12823720,20817936,13128157,20513411,12268124,21374201
0709,8581067,25060822,10770806,22872329,12266967,21374605,12819265,20822657,13390242,20250862,12265172,21377186
0710,8571619,25070117,10760455,22883499,12268614,21373483,12824546,20817206,13381038,20260381,12259897,21382067
0711,8571300,25070042,10711277,22932350,12272026,21370003,12820237,20821763,13381202,20260054,12267654,21374499
0712,8571692,25070117,10734673,22908443,12264592,21377180,12816635,20825039,13386537,20254531,12263795,21378349
0713,8571488,25070037,10789103,22855043,12266667,21375288,12821362,20820338,13381788,20259572,12264845,21377286
0714,8571592,25070121,10722866,22920368,12273124,21368713,12820454,20821550,13376450,20265107,12273557,21368821
0715,8571500,25070105,10769793,22874176,12261550,21379887,12824005,20818345,13380853,20260188,12269659,21372404
0716,8571643,25070092,10728652,22914693,12268517,21373516,12829885,20812283,13382982,20257993,12262511,21379310
0717,8571587,25070233,10744270,22899477,12271035,21370646,12818493,20823508,13381973,20259372,12269839,21372339
0718,8571798,25070062,10773426,22870068,12272775,21369107,12826256,20815492,13383655,20257512,12267057,21375207
0719,8571586,25070095,10751219,22892365,12264776,21377205,12813229,20832157,13386686,20254467,12267312,21374992
0720,8580200,25061812,10754481,22889331,12270763,21370967,12824990,20816669,13385563,20255998,12250255,21391801
0721,8579669,25062015,10723045,22920142,12268086,21374178,12819908,20822020,13370093,20271158,12268146,21373692
0722,8571324,25070134,10745088,22897837,12261923,21380582,12827727,20813922,13380705,20260861,12265923,21376647
0723,8572344,25069936,10317410,23325882,12258871,21383121,12819343,20823004,13367677,20273961,12264645,21377876
0724,8571475,25069987,10738582,22904354,12257053,21385044,12829154,20812929,13383960,20257546,12272999,21368809
0725,8571424,25070112,10733854,22909979,12268614,21373433,12821516,20820765,13388444,20252735,12261011,21380754
0726,8571317,25070079,10727360,22915992,12259847,21382048,12823133,20818902,13386036,20255216,12268182,21373733
0727,8584995,25056693,10809539,22834348,12282459,21360148,12826146,20815723,13378917,20262805,12265242,21376682
0728,8571113,25070229,10718459,22925170,12267502,21374398,12832206,20809949,13386881,20254279,12271603,21370662
0729,8571429,25070244,10794180,22849816,12268435,21373588,12822085,20819967,13377820,20263300,12262293,21379603
0730,8585891,25056002,10696534,22947066,12272364,21369667,12825938,20816088,13384420,20256883,12265469,21376801
0731,8572030,25070001,10731134,22912594,12278287,21363979,12825201,20816959,13385945,20255119,12273335,21368773
0732,8571702,25070043,10740482,22903230,12264769,21376950,12822085,20819766,13375894,20265552,12272657,21369424
0733,8571523,25070004,10756194,22887017,12274570,21367306,12826341,20815469,13369114,20272401,12266691,21375699
0734,8571518,25070027,10801710,22841554,12269637,21372564,12827098,20815201,13383031,20258192,12258958,21383350
0735,8571410,25070153,10779987,22864018,12282432,21359534,12820306,20821827,13384063,20257210,12268023,21373872
0736,8580018,25061959,10725944,22917393,12264111,21377913,12812220,20829834,13390509,20250713,12262191,21380019
0737,8571329,25070130,10774495,22868883,12258162,21383643,12831812,20809897,13388057,20253366,12264479,21377288
0738,8571831,25070027,10752536,22890337,12264919,21377311,12817862,20824025,13383109,20258069,12267368,21374570
0739,8580685,25061117,10724901,22918470,12267580,21374199,12827871,20813968,13357360,20283815,12265762,21376062
0740,8571648,25070281,10716332,22926790,12266382,21375762,12821619,20820427,13364258,20277014,12258880,21383091
0741,8571256,25070054,10785618,22858175,12268928,21373140,12823590,20817846,13384628,20256525,12266325,21375389
0742,8571190,25070076,10712123,22931289,12261102,21380681,12816927,20825350,13350349,20291293,12260153,21381649
0743,8571456,25070069,10733538,22909381,12261588,21380468,12819505,20822620,13380475,20260869,12268664,21373432
0744,8571580,25070119,10747731,22895256,12263341,21378441,12827215,20814638,13388558,20253109,12261405,21380574
0745,8571572,25069960,10738774,22904083,12272434,21369236,12820177,20821369,13334567,20306659,12265199,21376898
0746,8571586,25070084,10783492,22860126,12263310,21379026,12834335,20807740,13384879,20256248,12269707,21372379
0747,8571600,25069915,10790361,22852905,12269024,21373280,12814115,20827533,13367756,20273612,12267221,21374789
0748,8581184,25060546,10722745,22920693,12272782,21369214,12823410,20818882,13387273,20254120,12268604,21372988
0749,8571654,25070174,10712824,22930554,12273598,21368231,12814790,20827077,13367133,20273994,12260655,21381706
0750,8571784,25070149,10764261,22878449,12261000,21380963,12819356,20822545,13376735,20264533,12265572,21376491
0751,8578279,25063284,10774502,22869202,12264939,21376962,12822135,20819479,13383527,20257559,12267792,21373931
0752,8571779,25070074,10740558,22902638,12267832,21374070,12826492,20815605,13386376,20254734,12272488,21369627
0753,8571766,25069936,10748937,22894176,12271239,21370844,12819268,20822760,13383014,20258187,12264575,21377659
0754,8571186,25070230,10780670,22862836,12267124,21374809,12834415,20807377,13385776,20255357,12272193,21369558
0755,8571320,25070113,10721384,22922125,12268515,21373522,12827432,20814544,13386503,20254801,12268339,21373421
0756,8571568,25070022,10732847,22910989,12268408,21373485,12820558,20821616,13380302,20260876,12261737,21380405
0757,8571511,25070158,10792791,22850828,12271529,21370944,12820692,20821534,13378358,20263380,12263499,21378756
0758,8571741,25070053,10752129,22890752,12263971,21378260,12827204,20814454,13382821,20258482,12269975,21372272
0759,8571422,25070195,10691711,22951531,12262259,21379805,12825431,20816566,13386180,20254956,12266278,21375804
0760,8571553,25070111,10717988,22925502,12259348,21382499,12825361,20816848,13385580,20255955,12264119,21377849
0761,8571550,25070136,10741476,22902036,12269952,21372490,12825074,20816902,13386112,20255312,12264546,21377493
