run,baseline_elim,baseline_notelim,pressure_elim,pressure_notelim
0001,8571571,25070044,10859320,22784107
0002,8571969,25069869,10874068,22769218
0003,8571686,25070009,10917450,22725284
0004,8571518,25070099,10908924,22734182
0005,8571473,25070017,10924307,22719133
0006,8571290,25070175,10926750,22716075
0007,8571376,25070225,10896050,22747539
0008,8571701,25070101,10921032,22722326
0009,8571776,25070107,10848893,22794670
0010,8571974,25069884,10846971,22796322
0011,8571418,25069979,10901542,22741917
0012,8571519,25070088,10836432,22806794
0013,8571851,25069909,10905790,22737517
0014,8571398,25069917,10894219,22749450
0015,8571340,25070136,10929281,22713708
0016,8571657,25069892,10885463,22757991
0017,8571386,25070152,10871707,22771486
0018,8571401,25069986,10909750,22733223
0019,8571385,25070100,10881808,22761378
0020,8571382,25070133,10845954,22797370
0021,8571398,25070089,10912693,22730542
0022,8571880,25070134,10911316,22731905
0023,8571524,25070002,10906677,22736946
0024,8571762,25069939,10872697,22770566
0025,8571654,25069884,10864527,22778350
0026,8571745,25070093,10829014,22814570
0027,8571550,25070075,10850882,22792248
0028,8571429,25070208,10908319,22734525
0029,8571433,25070020,10863275,22780129
0030,8571538,25069995,10846711,22796963
0031,8571633,25070039,10894659,22748137
0032,8571572,25070070,10852983,22789998
0033,8571339,25069959,10897592,22745533
0034,8571454,25070135,10838907,22804727
0035,8571376,25070086,10874348,22768948
0036,8571616,25069956,10835222,22807605
0037,8571690,25070022,10860042,22783635
0038,8572020,25069915,10854359,22789054
0039,8571310,25070114,10871969,22771930
0040,8571838,25069887,10922232,22720731
0041,8571402,25070147,10849352,22793817
0042,8571558,25069983,10912834,22730687
0043,8571313,25070069,10874850,22767905
0044,8571326,25070168,10873218,22770172
0045,8571872,25069981,10906728,22736457
0046,8571234,25070042,10907895,22735541
0047,8571616,25070038,10847081,22796347
0048,8571143,25069972,10897701,22745360
0049,8571499,25070033,10864780,22778171
0050,8571674,25070108,10839873,22803493
0051,8571545,25070115,10868441,22774626
0052,8571739,25070054,10918209,22725654
0053,8571611,25070045,10843619,22799690
0054,8571342,25070273,10848088,22794755
0055,8571750,25070203,10847309,22796445
0056,8585191,25057292,10880396,22763207
0057,8583058,25059106,10922935,22720491
0058,8571410,25069943,10841686,22801246
0059,8571445,25070133,10846528,22796819
0060,8571757,25070075,10839771,22803849
0061,8571443,25069977,10842880,22801411
0062,8571710,25070014,10861287,22782257
0063,8571446,25070078,10876233,22766994
0064,8571322,25070019,10906304,22737263
0065,8571425,25070008,10845579,22798262
0066,8572025,25069952,10911146,22731872
